Sym,logFC,AveExpr,t,P.Value,adj.P.Val,B
ID1,-1.17869951426224,10.2266926035466,-15.7717870815832,4.0645918955533e-05,0.0230970695859512,3.08555097343061
DHRS2,1.17626709089268,10.4224744406066,7.61694705566876,0.000971170623406736,0.0474179222679527,-0.0390726642897752
PPL,-1.16671809195069,10.1379626581924,-10.7915711434046,0.00021656105463639,0.0335786694715938,1.53441344367595
DEGS1,-1.16629667785104,9.83768755430267,-14.1985181546677,6.47712026267664e-05,0.0230970695859512,2.6810644925814
FEN1,1.15166275160751,10.5345636954766,5.49141156797191,0.00375343705091897,0.0795893186149599,-1.53940138128578
CCND1,1.15066979455185,11.9925921641252,8.01297277238526,0.000783110594436901,0.0464478892664386,0.194024917111872
BTG1,-1.13889786484031,9.67239648053829,-16.8046754043473,3.06577473457271e-05,0.0230970695859512,3.31848055348915
OLFM1,1.13823555691066,9.72361296085153,8.34480515552977,0.00065858523354686,0.0443596300108355,0.380050042681348
PIK3R3,-1.12876244905001,10.499308570083,-12.053078985709,0.000133418337476251,0.0281561280046796,2.01007177072497
GATA3,-1.12078209517741,12.0022174576022,-7.43516101946696,0.00107558025764575,0.0491681588694316,-0.150348144241465
L1CAM,-1.08909662322527,11.0319596205698,-11.1572644543,0.000187201321661995,0.0323459062940926,1.679450693092
REEP5,-1.08034906661808,10.3637190466368,-6.48778132657469,0.00190179602457696,0.0634535806273737,-0.778387509113063
ID3,-1.06698887027587,11.7843746320461,-14.0689300818589,6.74533392499903e-05,0.0230970695859512,2.64474321700717
AURKB,1.06646309396666,11.186166715521,7.219147321092,0.00121783198980616,0.0526776193530319,-0.286256795022633
CRIM1,-1.06282899175707,9.96540717268923,-8.59063855992027,0.000581571922299582,0.043018483392625,0.512723522726009
PAWR,-1.05887597438745,9.71510885594867,-18.6637631364929,1.9209203585919e-05,0.0202099779426601,3.68351584097868
STAT1,-1.05783496367426,10.6435465907653,-8.84824562627569,0.000512254252479044,0.0414620120408429,0.647289420883728
TUBB3,1.05782455094621,11.481408040617,8.37927674423995,0.000647072768534571,0.0443596300108355,0.398911807108096
TACSTD2,-1.05574850461347,10.6179832496209,-5.50313464201079,0.00372146448139026,0.0795893186149599,-1.52976741719928
ANK3,-1.05315822020193,9.62328043379427,-8.73925871433432,0.000540287305789653,0.0422696901976417,0.590902160182297
FEN1,1.05159596057569,10.4423989024874,6.39644088845101,0.00201660654507695,0.0653631172265901,-0.843564204284602
TOB1,-1.03893860081083,10.6726888155137,-8.26510170635488,0.000686166797026993,0.0444737001646343,0.336110336853455
APOD,-1.02677934080568,11.0722801953588,-9.83284520890036,0.000324706776360842,0.0384091294016939,1.12304662712757
TRIP13,1.02315174718241,9.9319368409037,9.06351513168436,0.000461883652877361,0.0414035393212097,0.756385013319613
NCOA3,-1.02102636884514,11.0241163574208,-7.21732551881709,0.00121912506637851,0.0526776193530319,-0.287420459908113
CDV3,1.01978806952128,11.2255154324048,6.1368758365028,0.00239138433178312,0.0690966268465406,-1.03361565243219
UBE2C,1.01730772454217,11.5304542323971,6.87631432840724,0.00149326792272074,0.0574958259909321,-0.510570636638297
H2AFX,1.01728921825729,11.087980087626,4.78648433190696,0.00645504562465603,0.101459169174388,-2.15194300543665
TUBB4A,1.00988215149507,11.2334426562395,5.77783287370728,0.00305768905934544,0.0746466473764459,-1.30887614070131
CALB2,1.00311614216351,9.57279542930721,4.39209314639146,0.00897305797958685,0.114037589901413,-2.5251631594379
AURKA,0.988513062225266,10.9270837146503,14.5287579630987,5.85014720813832e-05,0.0230970695859512,2.77144449731159
RNASEH2A,0.981929597434791,10.2415992907388,18.267906754422,2.11364594136239e-05,0.0202099779426601,3.61106704283999
PCNA,0.977310051754914,10.0752878651514,14.3601862115547,6.16047349930456e-05,0.0230970695859512,2.72569606841146
IRF9,-0.975986082732383,11.596673459604,-12.9573679696528,9.70283594642549e-05,0.0255999967142469,2.31191509183987
PKMYT1,0.968845342160007,11.2553768709433,12.3838896720851,0.000118441454106325,0.0265165621490335,2.12399108815254
ACTG2,-0.95632458865661,9.38988056048449,-12.9162746202731,9.83969408277833e-05,0.0255999967142469,2.29883609696075
ATP9A,-0.95338560703053,10.6538305333905,-5.60180859378475,0.00346486272622797,0.0774967542314615,-1.44935752450666
EFNA1,-0.953282871009062,10.432734035889,-14.5023334820874,5.89751250106237e-05,0.0230970695859512,2.76432572558338
FEN1,0.952595699103117,9.94661185171558,4.38670546919418,0.00901478840993631,0.114420002450895,-2.5304227405429
MX1,-0.948304569364044,9.48894252963496,-19.944576846366,1.42834654987197e-05,0.0202099779426601,3.90060905764256
HIST1H2AC,-0.940334487953095,9.6408647262856,-8.10938704495129,0.000744197188520729,0.0459081641993916,0.248920941748501
TUBB,0.937934147415373,13.4638917520371,6.92635820688522,0.00144870136155577,0.0567547341906495,-0.477146117431418
TBC1D9,-0.934461157287334,12.1355500072327,-6.99647307674433,0.00138892439723924,0.0563127863389506,-0.430713451381112
